"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Additional Resources - Contract Amendment","6-Cancelled","28/08/2026","06/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2104","4240000","07/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","STC - Oracle Incentive Commission (OIC) Ph#2","7-Handover Completed","30/07/2026","06/05/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2105","190969","02/07/2026"
"Bayan AlOlayan","SDAIA - National Information Center","VMware Managed service","7-Handover Completed","19/05/2026","06/05/2026","Sales & BD 2","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2106","4320000","07/05/2026"
"Abdullah Awleyaa","Black Box Products FZE","Black box AGC resource","4-Submitted - Under Evaluation","27/09/2026","06/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2107","1500000","13/05/2026"
"Fajer Alsalloum","SAUDI BASIC INDUSTRIES CO.(SABIC)","WOs Batch 3","7-Handover Completed","25/05/2026","06/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2108","1137370","12/05/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","RFP - Innovation Center (Exhibition - Content & programing","3-Qualified In Progress","31/12/2026","07/05/2026","STC & Sub","RFI","Sell Direct","Facility Management","Non Etimad","SF-2026-2109","400000","01/10/2026"
"Fajer Alsalloum","National Water Company","Customer Satsfaction Survey","6-Cancelled","02/07/2026","07/05/2026","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2110","1500000","21/05/2026"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Sr. Engineers MOD Project","7-Handover Completed","18/08/2026","07/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2111","1131353","10/05/2026"
"Abdullah Alfawaz","Jeddah University","MS for E-learning","4-Submitted - Under Evaluation","26/11/2026","09/05/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2112","3283637","19/05/2026"
"Khalid AlEnezi","Saudi Tourism Authority","Development of digital products, IT infrastructure, and application support","4-Submitted - Under Evaluation","24/12/2026","09/05/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2113","52772263","16/05/2026"
"Osayed Shadid","AlSahab Company","Call Center Management and Operation Project - SCEGA","6-Dropped","11/08/2026","10/05/2026","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2026-2114","3740699","10/05/2026"
"Rawan AlMusayid","National Center for Wildlife ( NCW )","NCW Contact Center","6-Lost","16/09/2026","10/05/2026","Sales & BD 1","RFP","Sell Direct","CLM","Etimad","SF-2026-2115","3963013","07/06/2026"
"Raed Hammad","iotsquered","Rebadge team Batch1","7-Handover Completed","26/07/2026","10/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2116","3220752","10/05/2026"
"Bayan AlOlayan","National Center For Government Resources System","Governance and CS","1-Identified","24/12/2026","10/05/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2117","100000000","13/05/2026"
"Raed Hammad","TAWAL","Tawal HR - OPS 2026","7-Handover Completed","19/05/2026","10/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2118","249996","13/05/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Project Name: STC WS NS manage services 2026 \ OP-2026-163008","4-Submitted - Under Evaluation","31/12/2026","10/05/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2119","3000000","12/05/2026"
"Khalid AlEnezi","Saudi Tourism Authority","International and Local Numbers Service","3-Qualified In Progress","24/12/2026","10/05/2026","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2026-2120","100000","12/05/2026"
"Osayed Shadid","Zakat, Tax and Custom Authority","Managed Services - Infrastructure and Applications","6-Lost","11/08/2026","10/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2121","10000000","25/05/2026"
"Raed Hammad","TAWAL","Cyber Security - 2026","7-Handover Completed","19/05/2026","10/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2122","1683389","13/05/2026"
"Raed Hammad","TAWAL","Tawa HR - Corporate Finance 2026","7-Handover Completed","11/06/2026","10/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2123","582183","30/04/2026"
"Raed Hammad","TAWAL","HR - Facility 2026","7-Handover Completed","19/05/2026","10/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2124","458645","13/05/2026"
"Osayed Shadid","Ministry of Health","STCS -MoH national pacs project","6-Dropped","11/08/2026","10/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2125","2416205","14/05/2026"
"Rawan AlMusayid","Imam Turki Bin Abdullah Royal Nature Reserve De","ITBA - Contact Center","6-Dropped","15/06/2026","11/05/2026","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2026-2126","1100000","20/05/2026"
"Osayed Shadid","Insurance Authority","Providing customer care call center services to the Insurance Authority","6-Lost","16/08/2026","11/05/2026","Sales & BD 1","RFP","Sell Direct","CLM","Etimad","SF-2026-2127","17378248","06/06/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-24049 - 1374","7-Handover Completed","30/07/2026","11/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2128","308870","13/05/2026"
"Osayed Shadid","Health Holding Company","????? ?????? ??????? ????????? ?????? ?????? (?????????/ ??????) ????????? ???????? ?????? ??????? ?? ??????? ????? ????","6-Dropped","14/06/2026","12/05/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2129","0","12/05/2026"
"Osayed Shadid","Health Holding Company","?????? ????? ?????? ??? ?????? ?????? ?????? - ????? ?????? ???????? ?????? ??? ?????? ????? ???? ??? ( PLANTREE) ??????","6-Dropped","14/06/2026","12/05/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2130","0","12/05/2026"
"Osayed Shadid","Health Holding Company","?????? ?????? - ??? ????? ???? ????? ???????? ?????? ???? ???? ?????","6-Dropped","14/06/2026","12/05/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2131","0","12/05/2026"
"Raed Hammad","Center3","1896 - SMS Gateway Subscription","6-Dropped","19/08/2026","12/05/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2132","100000","21/05/2026"
"Ali Bin Zeair","Pulse by solutions","Giza Cars \ Reference No.: OPP-26-37","4-Submitted - Under Evaluation","31/12/2026","12/05/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2133","30358","14/05/2026"
"Fajer Alsalloum","Saudi Aramco","DMM Warehouse Feb26","7-Handover Completed","17/05/2026","12/05/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2134","252020","14/05/2026"
"Fajer Alsalloum","Saudi Aramco","DMM Warehouse March26","7-Handover Completed","17/05/2026","12/05/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2135","234941","14/05/2026"
"Raed Hammad","channels by stc","Aftersales, Installation, Repair & Logistics Services","6-Cancelled","19/08/2026","12/05/2026","STC & Sub","RFI","Sell Direct","SCM","Non Etimad","SF-2026-2136","1000000","17/05/2026"
"Khalid AlEnezi","General Commission for Audiovisual Media","Security and safety services","6-Dropped","15/06/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2137","7000000","02/06/2026"
"Khalid AlEnezi","General Commission for Audiovisual Media","Design and Fit-out for AlEkhbariya Channel","4-Submitted - Under Evaluation","24/12/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2138","2000000","21/05/2026"
"Khalid AlEnezi","General Commission for Audiovisual Media","Execution of the visual and audio identity","6-Dropped","30/06/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2139","4000000","22/05/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","License Renewal for HRSD contact center","1-Identified","24/12/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2140","2000000","27/05/2026"
"Bayan AlOlayan","MOI - Prisons","Operation of Cybersecurity Systems","6-Dropped","14/07/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2141","1000000","01/06/2026"
"Bayan AlOlayan","MOI - Prisons","Maintenance of Administrative Systems","6-Dropped","14/07/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2142","1000000","10/06/2026"
"Bayan AlOlayan","MOI - Prisons","Maintenance and Operation of Communication Systems","6-Dropped","14/07/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","HRO","Etimad","SF-2026-2143","1000000","02/06/2026"
"Abdullah Alfawaz","MOI - Prisons","Maintenance and Operation of CCTV Systems","6-Dropped","23/08/2026","12/05/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2144","1000000","17/06/2026"
"Raed Hammad","TAWAL","Finance - Budget, Tax & AP - 2026","6-Cancelled","21/05/2026","12/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2145","784796","21/05/2026"
"Fajer Alsalloum","Saudi Aramco","STCSQR-23930 Agile point","7-Handover Completed","24/06/2026","13/05/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2146","2813849","21/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 4","7-Handover Completed","30/07/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2147","1665538","01/07/2026"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Enhanced Application MS","4-Submitted - Under Evaluation","31/12/2026","13/05/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2148","50000000","14/05/2026"
"Rawan AlMusayid","SAUDI FRANSI BANK","New GPUs servers - BID 1799","4-Submitted - Under Evaluation","30/09/2026","13/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2149","799793","21/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 6","7-Handover Completed","30/07/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2150","1462801","01/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","BFM - EBU Demands 2025 - IT Platform Q4","4-Submitted - Under Evaluation","31/12/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2151","413468","06/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","BFM - CBU Demands 2026 - Tribe Q1 Extra","7-Handover Completed","16/08/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2152","316383","06/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","BFM - WBU Demands 2026 - Tribe Q1 ","7-Handover Completed","02/09/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2153","286707","05/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 5","7-Handover Completed","16/08/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2154","248035","25/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 7","7-Handover Completed","17/08/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2155","3264458","24/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 8","7-Handover Completed","13/08/2026","13/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2156","6083171","25/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 9","7-Handover Completed","13/08/2026","14/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2157","1834720","18/06/2026"
"Fajer Alsalloum","Saudi Aramco","STCSQR-23929 Solution Architect","6-Cancelled","02/07/2026","14/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2158","650000","18/05/2026"
"Rawan AlMusayid","Neoleap","Contact Center Project","6-Cancelled","02/07/2026","17/05/2026","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2026-2159","3027689","17/05/2026"
"Fajer Alsalloum","Sofon Industries","OP-2026-163141-IT Managed Services Support","6-Cancelled","18/06/2026","17/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2160","17209","17/05/2026"
"Osayed Shadid","TASAMA Business Services Company","Staff Augmentation","6-Dropped","11/08/2026","17/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2161","4000000","19/05/2026"
"Bayan AlOlayan","National Housing Services Company - NHC","Implementation of the pilot phase of the Accredited Observer Initiative","6-Lost","19/08/2026","17/05/2026","Sales & BD 2","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2162","12414667","17/05/2026"
"Bayan AlOlayan","National Housing Services Company - NHC","Smart building","6-Dropped","19/08/2026","17/05/2026","Sales & BD 2","RFP","Sell Through solutions","Facility Management","Non Etimad","SF-2026-2163","10000000","20/05/2026"
"Fajer Alsalloum","Diriyah Gate Development Authority","2 Months Extend to PO 106795","7-Handover Completed","30/06/2026","17/05/2026","Giga","RFQ","Sell Through STC","MPO","Non Etimad","SF-2026-2164","291780","21/05/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","O&M of the Developed Social Security System Platform","1-Identified","24/12/2026","17/05/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2165","2000000","29/05/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Maintenance of the Unified Employee Application","1-Identified","24/12/2026","18/05/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2166","3000000","13/06/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Maintenance of HRSD's Application for Individuals","1-Identified","24/12/2026","18/05/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2167","1000000","12/06/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Support and Implementation Services for Institutional Enablement and Operational Transformation","1-Identified","30/12/2026","18/05/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2168","1000000","24/05/2026"
"Khalid AlEnezi","Ministry of Sport","IT O&M Mahd Academy","4-Submitted - Under Evaluation","17/12/2026","18/05/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2169","25000000","07/06/2026"
"Bayan AlOlayan","MOI - Prisons","Development, Supply, Installation, and Operation of IPT","6-Dropped","14/07/2026","18/05/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2170","1000000","02/06/2026"
"Mohammad Alajlan","Solutions by stc","Project Manager-Solution Manpower-1217","7-Handover Completed","28/06/2026","18/05/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2171","541803","20/05/2026"
"Abdullah Awleyaa","AL AKARIA","Fai Sedra 2","6-Cancelled","17/06/2026","19/05/2026","Sales & BD 1","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2172","500000","24/05/2026"
"Osayed Shadid","Konecta","Supply Agents","3-Qualified In Progress","08/11/2026","19/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2173","1000000","30/09/2026"
"Malak AlSuhaim","Ministry of Tourism","Provision of Security Guarding Services for the Branches of MOT","1-Identified","24/12/2026","19/05/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2174","3000000","14/06/2026"
"Fajer Alsalloum","Saudi Aramco","STCSQR-23927 Wipro","6-Cancelled","18/06/2026","20/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2175","350000","24/05/2026"
"Fajer Alsalloum","Saudi Aramco","STCSQR-23928 Q-Pros","6-Cancelled","18/06/2026","20/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2176","350000","24/05/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","OP -number: OP-2025-157650","4-Submitted - Under Evaluation","31/12/2026","20/05/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2177","924130","25/05/2026"
"Fajer Alsalloum","Saudi Aramco","OP-2026-163672 Renewal","7-Handover Completed","09/08/2026","20/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2178","786562","24/05/2026"
"Mohammad Alajlan","Solutions by stc","VSAT  WH","7-Handover Completed","25/05/2026","20/05/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2179","112639","24/05/2026"
"Malak AlSuhaim","Ministry of Hajj","EBU renewal","1-Identified","29/10/2026","20/05/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2180","200000","21/05/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Strategic Planning Expert","4-Submitted - Under Evaluation","30/09/2026","20/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2181","948000","24/05/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Cybersecurity Expert","7-Handover Completed","02/07/2026","20/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2182","936000","24/05/2026"
"Bayan AlOlayan","Real Estate General Authority","1 resource","6-Dropped","23/08/2026","21/05/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2183","100000","24/05/2026"
"Fajer Alsalloum","Saudi Aramco","Software Developer Aramco","7-Handover Completed","13/08/2026","24/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2184","362022","24/05/2026"
"Fajer Alsalloum","Royal Comission of Al Ula","Senior Engagement Manager 1211","7-Handover Completed","28/06/2026","24/05/2026","Giga","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2185","866390","28/05/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Business and Performance Planning Expert","7-Handover Completed","02/07/2026","24/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2186","948000","27/05/2026"
"Fajer Alsalloum","Saudi Aramco","Graphic Designer","4-Submitted - Under Evaluation","30/11/2026","24/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2187","223870","27/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project AI - 10","7-Handover Completed","17/08/2026","25/05/2026","STC & Sub","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2026-2188","586959","01/07/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Procurement & Contracts Sr. Specialist","7-Handover Completed","01/07/2026","25/05/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2189","368568","27/05/2026"
"Fajer Alsalloum","Saudi Aramco","Renewal for OP-2026-163674","7-Handover Completed","09/08/2026","25/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2190","812902","31/05/2026"
"Fajer Alsalloum","Saudi Aramco","Renewal OP-2026-163680","7-Handover Completed","09/08/2026","25/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2191","312042","28/05/2026"
"Fajer Alsalloum","Saudi Aramco","OP-2026-163683","7-Handover Completed","09/08/2026","25/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2192","635568","28/05/2026"
"Fajer Alsalloum","Saudi Aramco","Renewal for Maintenance Technicians","4-Submitted - Under Evaluation","30/09/2026","25/05/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2193","914610","28/05/2026"
"Khalid AlEnezi","MOD - Armed Forces","Training Personnel of the Administration of King Fahd Military City","6-Dropped","26/08/2026","25/05/2026","Sales & BD 1","RFP","Sell Direct","HRO","Etimad","SF-2026-2194","0","25/05/2026"
"Khalid AlEnezi","Ministry of National Guard","Preparation and outfitting of the Services Hall with display screens","6-Dropped","26/08/2026","25/05/2026","Sales & BD 1","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2195","0","25/05/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-24270 - project 1533","7-Handover Completed","15/07/2026","02/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2196","178506","04/06/2026"
"Osayed Shadid","Health Holding Company","Establish patient experience call center","6-Dropped","15/09/2026","02/06/2026","Sales & BD 1","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2026-2197","76596114","07/07/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","MCN TU 2025 OP-2026-162498","7-Handover Completed","06/07/2026","02/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2198","2984081","03/06/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Renewal of managed services to enhance the efficiency of developing the Jadarat platform HADAF","1-Identified","24/12/2026","02/06/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2199","20000000","03/06/2026"
"Mohammad Alajlan","Solutions by stc","Networking - Solution Manpower 1338","7-Handover Completed","06/08/2026","02/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2200","149494","04/06/2026"
"Khalid AlEnezi","Ministry of Sport","Saudi Olympic & Paralympic - Digital Transformation","4-Submitted - Under Evaluation","24/12/2026","02/06/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2201","1000000","04/06/2026"
"Khalid AlEnezi","Princess Nora bint Abdul Rahman University","Ticket Allowance Request","7-Handover Completed","07/07/2026","02/06/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2202","67917","04/06/2026"
"Abdullah Awleyaa","AL Futtaim UAE","Call Center Services for Automotive Operations","6-Cancelled","09/09/2026","02/06/2026","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2026-2203","7500000","04/06/2026"
"Fajer Alsalloum","Saudi Aramco","Overtime B","1-Identified","30/09/2026","15/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2204","36128","16/06/2026"
"Ali Bin Zeair","Nile","Nile	Development of Finance and Procurement Policies","7-Handover Completed","11/06/2026","15/06/2026","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2205","110000","09/06/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-24438","6-Lost","06/07/2026","15/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2206","181572","15/06/2026"
"Ali Bin Zeair","Solutions by stc","Implementation & Optimization 2024 OP-2024-152015","6-Lost","18/08/2026","15/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2207","239651","16/06/2026"
"Bayan AlOlayan","National Housing Services Company - NHC","facility additional scope","6-Dropped","19/08/2026","15/06/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Non Etimad","SF-2026-2208","587180","15/06/2026"
"Osayed Shadid","ASMO","Monitoring and capacity Solution Project","6-Dropped","11/08/2026","15/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2209","1251260","18/06/2026"
"Fajer Alsalloum","Saudi Aramco","Contract renewal for PO  6511226680 OP-2026-164038","7-Handover Completed","09/08/2026","15/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2210","867808","16/06/2026"
"Mohammad Alajlan","Pulse by solutions","1481 - Logistics & WH services","7-Handover Completed","18/06/2026","15/06/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2211","3000000","16/06/2026"
"Osayed Shadid","Ministry of Transportation","Managed Services Ref#162697","6-Dropped","24/08/2026","15/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2212","10584730","23/06/2026"
"Osayed Shadid","King Salman International Airport (KSIA)","Cybersecurity Awareness Project","6-Dropped","24/08/2026","15/06/2026","Sales & BD 1","RFQ","Sell Through solutions","Event Management","Non Etimad","SF-2026-2213","1612762","24/06/2026"
"Bayan AlOlayan","National Center of Non-Profit Sector","cyber security","6-Lost","19/08/2026","15/06/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2214","1125534","15/06/2026"
"Raed Hammad","Center3","IT Dep ? Resources 2026","7-Handover Completed","21/06/2026","15/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2215","1104916","16/06/2025"
"Osayed Shadid","Saudi Global Ports Co","Headquarters Facilities Management Managing Agent Services","6-Dropped","10/08/2026","15/06/2026","Sales & BD 1","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2216","15000000","30/06/2026"
"Fajer Alsalloum","SAUDI BASIC INDUSTRIES CO.(SABIC)","WO Batch 4","7-Handover Completed","17/06/2026","15/06/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2217","3589971","16/06/2026"
"Rawan AlMusayid","Economic Cities Authority","Facility - Managed services","4-Submitted - Under Evaluation","20/12/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2026-2218","100000","16/06/2026"
"Rawan AlMusayid","The Saudi National Bank","SNB - Observability Expert","4-Submitted - Under Evaluation","18/11/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2219","895944","16/06/2026"
"Rawan AlMusayid","Research Development and Innovation Authority","Budget Utilization","7-Handover Completed","30/06/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2220","132000","16/06/2026"
"Rawan AlMusayid","Agricultural Development Fund","OP-2026-163761 - Saudi Arab Agricultural Bank","4-Submitted - Under Evaluation","16/11/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2221","2257694","16/06/2026"
"Rawan AlMusayid","SAUDI FRANSI BANK","Saudi National Resource - STC solutions-BSF","4-Submitted - Under Evaluation","30/11/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2222","1909218","09/09/2026"
"Rawan AlMusayid","Neoleap","Collection PROJECT","6-Cancelled","02/07/2026","16/06/2026","Sales & BD 1","RFP","Sell Direct","F&A","Non Etimad","SF-2026-2223","0","25/06/2026"
